artifact,variant_id,check,column,current,frozen,maximum_absolute_difference,passed
evaluation_rows,partial_only,column_set,,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,0.0,True
evaluation_rows,partial_only,column_values,availability_date,,,0.0,True
evaluation_rows,partial_only,column_values,evaluation_checkpoint,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_as_of_date,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_hard_quadrant,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_mapping_reference_month,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,partial_only,column_values,forecast_probability_growth_up_inflation_up,,,0.0,True
evaluation_rows,partial_only,column_values,growth_error,,,0.0,True
evaluation_rows,partial_only,column_values,growth_squared_error,,,0.0,True
evaluation_rows,partial_only,column_values,hard_quadrant_correct,,,0.0,True
evaluation_rows,partial_only,column_values,inflation_error,,,0.0,True
evaluation_rows,partial_only,column_values,inflation_squared_error,,,0.0,True
evaluation_rows,partial_only,column_values,quadrant_brier_distance_to_exact_score_map,,,0.0,True
evaluation_rows,partial_only,column_values,quadrant_cross_entropy_to_exact_score_map,,,0.0,True
evaluation_rows,partial_only,column_values,quadrant_kl_divergence_to_exact_score_map,,,0.0,True
evaluation_rows,partial_only,column_values,reference_month,,,0.0,True
evaluation_rows,partial_only,column_values,same_day_release_evidence_included,,,0.0,True
evaluation_rows,partial_only,column_values,score_center_negative_log_predictive_density,,,0.0,True
evaluation_rows,partial_only,column_values,target_hard_quadrant,,,0.0,True
evaluation_rows,partial_only,column_values,target_mapping_reference_month,,,0.0,True
evaluation_rows,partial_only,column_values,target_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,partial_only,column_values,target_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,partial_only,column_values,target_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,partial_only,column_values,target_probability_growth_up_inflation_up,,,0.0,True
partial_defining_audit,partial_only,row_count,,899,899,0.0,True
partial_defining_audit,partial_only,column_set,,component_fit_knowledge_cutoff|component_ledoit_wolf_shrinkage|component_training_count|components|conditional_noise_covariance_json|conditional_score_loadings_json|conditioned_components|event_id|exact_axes|latest_component_training_availability|likelihood_components|previously_observed_components|reference_month|release_date|status,component_fit_knowledge_cutoff|component_ledoit_wolf_shrinkage|component_training_count|components|conditional_noise_covariance_json|conditional_score_loadings_json|conditioned_components|event_id|exact_axes|latest_component_training_availability|likelihood_components|previously_observed_components|reference_month|release_date|status,0.0,True
partial_defining_audit,partial_only,column_values,component_fit_knowledge_cutoff,,,0.0,True
partial_defining_audit,partial_only,column_values,component_ledoit_wolf_shrinkage,,,0.0,True
partial_defining_audit,partial_only,column_values,component_training_count,,,0.0,True
partial_defining_audit,partial_only,column_values,components,,,0.0,True
partial_defining_audit,partial_only,column_values,conditional_noise_covariance_json,,,0.0,True
partial_defining_audit,partial_only,column_values,conditional_score_loadings_json,,,0.0,True
partial_defining_audit,partial_only,column_values,conditioned_components,,,0.0,True
partial_defining_audit,partial_only,column_values,event_id,,,0.0,True
partial_defining_audit,partial_only,column_values,exact_axes,,,0.0,True
partial_defining_audit,partial_only,column_values,latest_component_training_availability,,,0.0,True
partial_defining_audit,partial_only,column_values,likelihood_components,,,0.0,True
partial_defining_audit,partial_only,column_values,previously_observed_components,,,0.0,True
partial_defining_audit,partial_only,column_values,reference_month,,,0.0,True
partial_defining_audit,partial_only,column_values,release_date,,,0.0,True
partial_defining_audit,partial_only,column_values,status,,,0.0,True
exact_score_audit,partial_only,row_count,,188,188,0.0,True
exact_score_audit,partial_only,column_set,,availability_date|reference_month|status,availability_date|reference_month|status,0.0,True
exact_score_audit,partial_only,column_values,availability_date,,,0.0,True
exact_score_audit,partial_only,column_values,reference_month,,,0.0,True
exact_score_audit,partial_only,column_values,status,,,0.0,True
latest_marginals,partial_only,row_count,,4,4,0.0,True
latest_marginals,partial_only,column_set,,as_of_date|exact_score|growth_inflation_covariance|growth_mean|growth_variance|inflation_mean|inflation_variance|probability_growth_down_inflation_down|probability_growth_down_inflation_up|probability_growth_up_inflation_down|probability_growth_up_inflation_up|reference_month|relative_month,as_of_date|exact_score|growth_inflation_covariance|growth_mean|growth_variance|inflation_mean|inflation_variance|probability_growth_down_inflation_down|probability_growth_down_inflation_up|probability_growth_up_inflation_down|probability_growth_up_inflation_up|reference_month|relative_month,0.0,True
latest_marginals,partial_only,column_values,as_of_date,,,0.0,True
latest_marginals,partial_only,column_values,exact_score,,,0.0,True
latest_marginals,partial_only,column_values,growth_inflation_covariance,,,0.0,True
latest_marginals,partial_only,column_values,growth_mean,,,0.0,True
latest_marginals,partial_only,column_values,growth_variance,,,0.0,True
latest_marginals,partial_only,column_values,inflation_mean,,,0.0,True
latest_marginals,partial_only,column_values,inflation_variance,,,0.0,True
latest_marginals,partial_only,column_values,probability_growth_down_inflation_down,,,0.0,True
latest_marginals,partial_only,column_values,probability_growth_down_inflation_up,,,0.0,True
latest_marginals,partial_only,column_values,probability_growth_up_inflation_down,,,0.0,True
latest_marginals,partial_only,column_values,probability_growth_up_inflation_up,,,0.0,True
latest_marginals,partial_only,column_values,reference_month,,,0.0,True
latest_marginals,partial_only,column_values,relative_month,,,0.0,True
evaluation_rows,student_t_7_combined,row_count,,752,752,0.0,True
evaluation_rows,student_t_7_combined,column_set,,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,availability_date|evaluation_checkpoint|forecast_as_of_date|forecast_hard_quadrant|forecast_mapping_reference_month|forecast_probability_growth_down_inflation_down|forecast_probability_growth_down_inflation_up|forecast_probability_growth_up_inflation_down|forecast_probability_growth_up_inflation_up|growth_error|growth_squared_error|hard_quadrant_correct|inflation_error|inflation_squared_error|quadrant_brier_distance_to_exact_score_map|quadrant_cross_entropy_to_exact_score_map|quadrant_kl_divergence_to_exact_score_map|reference_month|same_day_release_evidence_included|score_center_negative_log_predictive_density|target_hard_quadrant|target_mapping_reference_month|target_probability_growth_down_inflation_down|target_probability_growth_down_inflation_up|target_probability_growth_up_inflation_down|target_probability_growth_up_inflation_up,0.0,True
evaluation_rows,student_t_7_combined,column_values,availability_date,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,evaluation_checkpoint,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_as_of_date,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_hard_quadrant,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_mapping_reference_month,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,forecast_probability_growth_up_inflation_up,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,growth_error,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,growth_squared_error,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,hard_quadrant_correct,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,inflation_error,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,inflation_squared_error,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,quadrant_brier_distance_to_exact_score_map,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,quadrant_cross_entropy_to_exact_score_map,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,quadrant_kl_divergence_to_exact_score_map,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,reference_month,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,same_day_release_evidence_included,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,score_center_negative_log_predictive_density,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_hard_quadrant,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_mapping_reference_month,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_probability_growth_down_inflation_down,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_probability_growth_down_inflation_up,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_probability_growth_up_inflation_down,,,0.0,True
evaluation_rows,student_t_7_combined,column_values,target_probability_growth_up_inflation_up,,,0.0,True
partial_defining_audit,student_t_7_combined,row_count,,899,899,0.0,True
partial_defining_audit,student_t_7_combined,column_set,,component_fit_knowledge_cutoff|component_ledoit_wolf_shrinkage|component_training_count|components|conditional_noise_covariance_json|conditional_score_loadings_json|conditioned_components|event_id|exact_axes|latest_component_training_availability|likelihood_components|previously_observed_components|reference_month|release_date|status,component_fit_knowledge_cutoff|component_ledoit_wolf_shrinkage|component_training_count|components|conditional_noise_covariance_json|conditional_score_loadings_json|conditioned_components|event_id|exact_axes|latest_component_training_availability|likelihood_components|previously_observed_components|reference_month|release_date|status,0.0,True
partial_defining_audit,student_t_7_combined,column_values,component_fit_knowledge_cutoff,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,component_ledoit_wolf_shrinkage,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,component_training_count,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,components,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,conditional_noise_covariance_json,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,conditional_score_loadings_json,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,conditioned_components,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,event_id,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,exact_axes,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,latest_component_training_availability,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,likelihood_components,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,previously_observed_components,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,reference_month,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,release_date,,,0.0,True
partial_defining_audit,student_t_7_combined,column_values,status,,,0.0,True
exact_score_audit,student_t_7_combined,row_count,,188,188,0.0,True
exact_score_audit,student_t_7_combined,column_set,,availability_date|reference_month|status,availability_date|reference_month|status,0.0,True
exact_score_audit,student_t_7_combined,column_values,availability_date,,,0.0,True
exact_score_audit,student_t_7_combined,column_values,reference_month,,,0.0,True
exact_score_audit,student_t_7_combined,column_values,status,,,0.0,True
latest_marginals,student_t_7_combined,row_count,,4,4,0.0,True
latest_marginals,student_t_7_combined,column_set,,as_of_date|exact_score|growth_inflation_covariance|growth_mean|growth_variance|inflation_mean|inflation_variance|probability_growth_down_inflation_down|probability_growth_down_inflation_up|probability_growth_up_inflation_down|probability_growth_up_inflation_up|reference_month|relative_month,as_of_date|exact_score|growth_inflation_covariance|growth_mean|growth_variance|inflation_mean|inflation_variance|probability_growth_down_inflation_down|probability_growth_down_inflation_up|probability_growth_up_inflation_down|probability_growth_up_inflation_up|reference_month|relative_month,0.0,True
latest_marginals,student_t_7_combined,column_values,as_of_date,,,0.0,True
latest_marginals,student_t_7_combined,column_values,exact_score,,,0.0,True
latest_marginals,student_t_7_combined,column_values,growth_inflation_covariance,,,0.0,True
latest_marginals,student_t_7_combined,column_values,growth_mean,,,0.0,True
latest_marginals,student_t_7_combined,column_values,growth_variance,,,0.0,True
latest_marginals,student_t_7_combined,column_values,inflation_mean,,,0.0,True
latest_marginals,student_t_7_combined,column_values,inflation_variance,,,0.0,True
latest_marginals,student_t_7_combined,column_values,probability_growth_down_inflation_down,,,0.0,True
latest_marginals,student_t_7_combined,column_values,probability_growth_down_inflation_up,,,0.0,True
latest_marginals,student_t_7_combined,column_values,probability_growth_up_inflation_down,,,0.0,True
latest_marginals,student_t_7_combined,column_values,probability_growth_up_inflation_up,,,0.0,True
latest_marginals,student_t_7_combined,column_values,reference_month,,,0.0,True
latest_marginals,student_t_7_combined,column_values,relative_month,,,0.0,True
event_update_audit,student_t_7_combined,row_count,,1406,1406,0.0,True
event_update_audit,student_t_7_combined,column_set,,approximate_log_predictive_density|emission_family|event_instance_id|event_weight|fit_status|gaussian_moment_log_predictive_density|mahalanobis_squared|observation_model_id|observed_responses|profile_id|raw_event_weight|reference_month|release_date|selected_base_lambda|selected_degrees_of_freedom|selection_status|training_count|update_status|weight_state_cutoff,approximate_log_predictive_density|emission_family|event_instance_id|event_weight|fit_status|gaussian_moment_log_predictive_density|mahalanobis_squared|observation_model_id|observed_responses|profile_id|raw_event_weight|reference_month|release_date|selected_base_lambda|selected_degrees_of_freedom|selection_status|training_count|update_status|weight_state_cutoff,0.0,True
event_update_audit,student_t_7_combined,column_values,approximate_log_predictive_density,,,0.0,True
event_update_audit,student_t_7_combined,column_values,emission_family,,,0.0,True
event_update_audit,student_t_7_combined,column_values,event_instance_id,,,0.0,True
event_update_audit,student_t_7_combined,column_values,event_weight,,,0.0,True
event_update_audit,student_t_7_combined,column_values,fit_status,,,0.0,True
event_update_audit,student_t_7_combined,column_values,gaussian_moment_log_predictive_density,,,0.0,True
event_update_audit,student_t_7_combined,column_values,mahalanobis_squared,,,0.0,True
event_update_audit,student_t_7_combined,column_values,observation_model_id,,,0.0,True
event_update_audit,student_t_7_combined,column_values,observed_responses,,,0.0,True
event_update_audit,student_t_7_combined,column_values,profile_id,,,0.0,True
event_update_audit,student_t_7_combined,column_values,raw_event_weight,,,0.0,True
event_update_audit,student_t_7_combined,column_values,reference_month,,,0.0,True
event_update_audit,student_t_7_combined,column_values,release_date,,,0.0,True
event_update_audit,student_t_7_combined,column_values,selected_base_lambda,,,0.0,True
event_update_audit,student_t_7_combined,column_values,selected_degrees_of_freedom,,,0.0,True
event_update_audit,student_t_7_combined,column_values,selection_status,,,0.0,True
event_update_audit,student_t_7_combined,column_values,training_count,,,0.0,True
event_update_audit,student_t_7_combined,column_values,update_status,,,0.0,True
event_update_audit,student_t_7_combined,column_values,weight_state_cutoff,,,0.0,True
