reference_month,score_available_at,revision_horizon_months,specification_id,is_baseline,growth_score,inflation_score,disagreement_training_months,revision_training_months,growth_disagreement_variance,inflation_disagreement_variance,growth_revision_mean,inflation_revision_mean,growth_revision_variance,growth_inflation_revision_covariance,inflation_revision_variance,growth_map_variance,growth_inflation_map_covariance,inflation_map_variance,map_correlation,quadrant_weight_sum,probability_sum,entropy,mapping_status,weight_growth_up_inflation_up,probability_growth_up_inflation_up,weight_growth_down_inflation_up,probability_growth_down_inflation_up,weight_growth_up_inflation_down,probability_growth_up_inflation_down,weight_growth_down_inflation_down,probability_growth_down_inflation_down
2000-01-01,,3,sensitivity_revision_3m,False,0.878902291330785,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-02-01,,3,sensitivity_revision_3m,False,-0.070212985758635,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-03-01,,3,sensitivity_revision_3m,False,0.2703946659462918,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-04-01,,3,sensitivity_revision_3m,False,0.9502714434372256,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-05-01,,3,sensitivity_revision_3m,False,-0.1431533507136067,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-06-01,,3,sensitivity_revision_3m,False,-0.0605783096260378,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-07-01,,3,sensitivity_revision_3m,False,-0.1807918312686718,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-08-01,,3,sensitivity_revision_3m,False,-0.1858969809408361,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-09-01,,3,sensitivity_revision_3m,False,0.5791627000024956,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-10-01,,3,sensitivity_revision_3m,False,-0.3615022915432911,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-11-01,,3,sensitivity_revision_3m,False,-0.5333561027463194,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2000-12-01,,3,sensitivity_revision_3m,False,-0.5516733450634137,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-01-01,,3,sensitivity_revision_3m,False,-0.4518926930374925,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-02-01,,3,sensitivity_revision_3m,False,-0.5373400077242031,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-03-01,,3,sensitivity_revision_3m,False,-0.4028770811347093,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-04-01,,3,sensitivity_revision_3m,False,-1.1285746856062384,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-05-01,,3,sensitivity_revision_3m,False,-0.486729116043501,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-06-01,,3,sensitivity_revision_3m,False,-0.9775597538437792,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-07-01,,3,sensitivity_revision_3m,False,-0.4298743778674968,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-08-01,,3,sensitivity_revision_3m,False,-1.4548806422361498,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-09-01,,3,sensitivity_revision_3m,False,-2.1280358874727017,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-10-01,,3,sensitivity_revision_3m,False,-0.7510356904534671,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-11-01,,3,sensitivity_revision_3m,False,-1.8029799614556024,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2001-12-01,,3,sensitivity_revision_3m,False,-0.94403909171963,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-01-01,,3,sensitivity_revision_3m,False,-0.0686097571373605,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-02-01,,3,sensitivity_revision_3m,False,0.3823969122757432,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-03-01,,3,sensitivity_revision_3m,False,-0.1409672350157835,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-04-01,,3,sensitivity_revision_3m,False,-0.4816822202728973,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-05-01,,3,sensitivity_revision_3m,False,0.0876830122604449,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-06-01,,3,sensitivity_revision_3m,False,0.1681910918925623,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-07-01,,3,sensitivity_revision_3m,False,0.2335097594829348,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-08-01,,3,sensitivity_revision_3m,False,-0.08783720349078,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-09-01,,3,sensitivity_revision_3m,False,-0.708925606185173,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-10-01,,3,sensitivity_revision_3m,False,-0.8179953748527826,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-11-01,,3,sensitivity_revision_3m,False,-0.5058669023835718,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2002-12-01,,3,sensitivity_revision_3m,False,-0.0351079319397115,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-01-01,,3,sensitivity_revision_3m,False,0.4692671511375144,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-02-01,,3,sensitivity_revision_3m,False,-1.1111112452105711,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-03-01,,3,sensitivity_revision_3m,False,-0.6900065373701991,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-04-01,,3,sensitivity_revision_3m,False,-0.8625394410313839,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-05-01,,3,sensitivity_revision_3m,False,-0.2851904128718469,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-06-01,,3,sensitivity_revision_3m,False,-0.7395744304367395,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-07-01,,3,sensitivity_revision_3m,False,0.492754019933213,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-08-01,,3,sensitivity_revision_3m,False,0.0367565057402243,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-09-01,,3,sensitivity_revision_3m,False,-0.4443546968980824,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-10-01,,3,sensitivity_revision_3m,False,0.0919362393856665,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-11-01,,3,sensitivity_revision_3m,False,0.6462416477476985,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2003-12-01,,3,sensitivity_revision_3m,False,0.144629839888717,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2004-01-01,,3,sensitivity_revision_3m,False,0.3813908983833153,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2004-02-01,,3,sensitivity_revision_3m,False,0.0500228697474305,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2004-03-01,,3,sensitivity_revision_3m,False,-0.1292570786587226,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2004-04-01,,3,sensitivity_revision_3m,False,0.7038154806437615,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
2004-05-01,,3,sensitivity_revision_3m,False,0.7738218371233861,,0,0,,,,,,,,,,,,,,,score_unavailable,,,,,,,,
